# Steely Dan & Solo Songs - Chordbox Edition (8 buttons)

## Can't Buy a Thrill (1972)
Do It Again - Gm7 | Cm7 | Dm7 | Gm7 | Cm | Dm | Ebmaj7 | Gm
Blues Beach - Gm7 | C7 | Fmaj7 | Bbmaj7 | Ebmaj7 | Dm7 | Cm7 | F7
Godwhacker - Em7 | Am7 | B7 | Em7 | C | D | Em7 | B7
Slang of Ages - Dm7 | G7 | Cmaj7 | Am7 | Fmaj7 | Bm7b5 | E7 | Am7
Green Book - Bbmaj7 | Am7 | Gm7 | Fmaj7 | Ebmaj7 | Dm7 | Cm7 | F7
Pixeleen - Am7 | D7 | Gmaj7 | Em7 | Cmaj7 | F#m7b5 | B7 | Em7
Lunch with Gina - Fmaj7 | Gm7 | Am7 | Bbmaj7 | Cmaj7 | Dm7 | Em7 | F7
Everything Must Go - Cmaj7 | Am7 | Dm7 | G7 | Em7 | A7 | Dm7 | G7

---

# Solo Albums

## Donald Fagen - The Nightfly (1982)
I.G.Y. (What a Beautiful World) - G#m7 | C#m9 | Emaj9 | F#11 | Bmaj7 | Emaj7 | F#7 | Bmaj7
Green Flower Street - Em7 | Am7 | D7 | Gmaj7 | Cmaj7 | F#m7b5 | B7 | Em7
Ruby Baby - A | D | E | A | D | E | A | E
Maxine - Gmaj7 | Am7 | Bm7 | Cmaj7 | D7 | Em7 | Am7 | D7
New Frontier - Am7 | Dm7 | Gmaj7 | Cmaj7 | Fmaj7 | Bm7b5 | E7 | Am7
The Nightfly - Fmaj7 | Em7 | Dm7 | Cmaj7 | Bbmaj7 | Am7 | Gm7 | C7
The Goodbye Look - Bbmaj7 | Am7 | Gm7 | Fmaj7 | Ebmaj7 | Dm7 | Cm7 | F7
Walk Between Raindrops - Cmaj7 | Am7 | Dm7 | G7 | Em7 | A7 | Dm7 | G7

## Walter Becker - 11 Tracks of Whack (1994)
Down in the Bottom - Em7 | Am7 | D7 | G | C | Am | B7 | Em
Junkie Girl - Am7 | D7 | Gmaj7 | Cmaj7 | Fmaj7 | Bm7 | E7 | Am7
Surf and/or Die - E | A | B | E | C#m | A | B | E
Book of Liars - Dm7 | G7 | Cmaj7 | Fmaj7 | Bm7b5 | E7 | Am7 | Dm7
Lucky Henry - Gm7 | C7 | Fmaj7 | Bbmaj7 | Ebmaj7 | Am7 | D7 | Gm7
Hard Up Case - Am7 | Em7 | Dm7 | G7 | Cmaj7 | Fmaj7 | Bm7b5 | E7
Cringemaker - Em7 | Am7 | Bm7 | E7 | Am7 | D7 | Gmaj7 | E7
Girlfriend - Gmaj7 | Cmaj7 | Am7 | D7 | Em7 | A7 | Am7 | D7
My Waterloo - Fmaj7 | Bbmaj7 | Gm7 | C7 | Dm7 | Am7 | Bbmaj7 | C7
This Moody Bastard - Am7 | Dm7 | E7 | Am7 | Fmaj7 | G7 | Cmaj7 | E7
Hat Too Flat - Dm7 | G7 | Cmaj7 | Am7 | Fmaj7 | Bm7b5 | E7 | Am7
